,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta
SEE,1.0215,42.535487028879096,-0.5705679862306369,-15.487091222030982,1.786253558050028,0.014729574223245109,0.97
SRE,-1.7547,,0.01863316703732644,2.4940794614413657,3.5153109698165608,0.029604152599594865,0.45
SWKS,6.3018,13.078802881716335,0.07054948864621252,0.17348884431567738,3.1539941975698733,0.016986168405726764,0.83
SNA,12.0834,13.352202194746512,0.05647347360268491,0.7275396927843036,3.881976409666283,0.02113549026899715,1.47
LUV,4.31,12.440835266821347,0.06637572313001117,1.771034202780879,1.7894331169970816,0.011283103319656845,1.73
SWK,4.308,32.24698235840297,-0.008468443304597336,1.463631400530706,8.081556997219648,0.01857183990786064,1.35
SBUX,2.28,31.271929824561404,-0.26364865333287113,-7.924052826787757,1.9129945320038597,0.018513323983169707,0.41
SRCL,1.5302,29.682394458240754,0.00804381310970392,1.3589936676364882,-1.5574810971907942,,1.97
SYK,9.5,19.86,0.1763000852514919,1.321312872975277,2.806810406128829,0.010229501245561034,1.03
SYMC,-0.0632,,0.01100575685743312,1.7863189976295293,0.5897840639407275,0.013233348037053373,1.09
SYF,3.77,8.456233421750662,0.05334514238997139,6.275650633601308,3.6288743445909204,0.02258469259723965,1.59
SNPS,3.9583,25.84442816360559,0.04062504465701034,0.67741601703397,-0.9646541099560605,,1.28
SYY,2.84,23.70774647887324,0.12335096852054496,7.377245533844243,1.2593799358473738,0.021832763998217732,0.69
TROW,7.39,13.267929634641407,0.0560227291282269,0.15046617572620544,0.4541529814106254,0.02855685874553799,0.98
TTWO,3.24,26.873456790123452,0.08875508208025087,1.1638625930779638,5.268853502058995,,1.18
TPR,2.5324,14.00252724688043,0.07304208233000803,1.0408496732026145,2.1322307209512448,0.03807106598984772,1.03
TGT,6.0527,11.93682158375601,0.056137184115523465,2.932490974729242,1.7246863945239292,0.03487889273356402,1.0
TEL,8.5777,9.717057019947072,0.03634232121922626,0.8745603751465416,0.8764836773359618,0.020635872825434914,N/A
FTI,0.4012,56.60518444666002,0.010691303261349464,1.0774084718230612,0.3241228777075916,0.02289740202553941,1.06
TXN,5.7201,18.760161535637486,0.13775850567044695,0.905381365354681,2.2331118960837775,0.024508433510390455,1.11
TXT,4.9239,11.18219297711164,0.047380585516178735,1.7473035439137135,1.751328410296618,0.001452960406828914,1.74
CLX,6.133,26.019892385455734,0.24528301886792453,5.836927223719677,1.4824755781654757,0.024063165810251908,0.39
COO,2.8329,103.28285502488615,0.03041480227355182,0.8480469222396904,4.795395123533107,0.00020506510817184457,1.05
MOS,-0.298,,0.023703263867606496,0.9348567269384003,1.3588606117207562,0.003095975232198143,1.48
TRV,9.3652,13.990090975099305,0.026906613086398183,3.5927317201013365,3.5992118181714634,0.02312624026866127,0.99
DIS,7.34,15.701634877384196,0.05540981000079498,0.8829000715478178,1.4079877647942687,0.01457700650759219,0.52
TMO,7.3038,34.51627919713026,0.03255274414558109,1.0365765243239324,4.473689440006359,0.0026973423244744154,1.31
TIF,3.59,25.82172701949861,0.031549202127659576,0.6909242021276597,0.5266741593312386,0.022653721682847898,1.32
TJX,2.48,20.30241935483871,0.14500122030720544,1.85820905317667,0.741066479196464,0.014721946375372393,0.84
TSS,3.166,29.62413139608339,0.05275520455886641,1.888236850063382,1.5849452699776914,0.005544301098198102,0.99
TSCO,4.3486,22.085268822149658,0.08762277343099717,0.9754273859983865,2.79332011665629,0.012494793835901706,1.17
TDG,14.7274,29.66511400518761,-0.10302580909512488,-8.43255745869711,6.236421725239617,,1.22
TRIP,0.8203,66.97549676947457,0.004758667573079538,0.47314751869476546,0.24779977777955411,,0.28
FOXA,7.48,6.840909090909091,0.3379159506327136,1.0021871582565225,-0.02173070927145435,0.0070353722884502635,0.3
FOX,7.48,6.795454545454545,0.3379159506327136,1.0021871582565225,-0.028803250008453126,0.0070824316348613026,0.31
TSN,5.4362,11.647842242743092,0.04197455625809401,1.4531880856250476,2.9398117572149007,0.02132027795325332,0.5
UDR,0.4791,93.6756418284283,0.028268961066896105,1.313387309098731,0.6025194930536154,0.02874331550802139,0.83
ULTA,10.8,28.770370370370372,0.0714514505353711,0.8154522218881146,2.599996628001079,,1.49
UAA,-0.1022,,0.002091358346666693,1.1047563279951966,2.7151895360736824,,0.64
UA,-0.1022,,0.002091358346666693,1.1047563279951966,2.2510417541239325,,0.42
UNP,7.96,21.3643216080402,0.07609068207413211,1.9206287029329678,3.198326688597523,0.01799364930024697,1.09
UAL,,,0.046223111555777886,3.47943971985993,4.0409008162546245,,1.04
