,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta
KMX,4.3639,13.87291184490937,0.05540167092028705,4.35551872674931,0.02201814365589375,,1.12
CCL,4.4653,13.172687165476004,0.0202102851532136,0.7346888679785624,2.1125517461293613,0.03315198911934716,1.61
CAT,10.36,13.386100386100388,0.07464919153785882,4.589286986252582,3.619190920574136,0.023651571964234206,1.38
CBS,5.2,9.940384615384614,0.20007132667617689,6.79564907275321,0.7075553101163152,0.013929193267556587,0.99
CNC,2.37,27.008438818565402,0.022075661811853074,1.8208298983237152,-1.5344773337851247,,1.49
CNP,3.5701,8.795271841124897,0.02868554829339143,3.035584604212055,1.1692149300366528,0.03503184713375797,0.56
CTL,-1.6251,,-0.121646156949768,2.542566068186403,1.847019414061777,0.16071428571428573,0.74
CERN,1.9,30.38421052631579,0.026645623955414234,0.3612229067145471,1.2544325612511986,,0.96
CF,1.2442,35.42035042597653,0.01656524678837052,2.342799188640974,1.0572336009636425,0.02722940776038121,0.31
CHTR,5.33,65.6810506566604,0.008157640898442883,2.8882458316108583,14.057882265236028,,1.39
CVX,7.81,15.286811779769527,0.024133959651642792,0.22295767175226783,4.7797484783621265,0.03752408074378089,0.91
CMG,6.34,94.67192429022083,0.022214760025226543,0.6676555619462181,4.665931523193174,,0.94
CB,,,0.007055970742566386,2.3346120209890286,-6.597150638556439,0.021559735335662775,0.69
CHD,2.32,28.56896551724138,0.05819545195207433,1.4733882141983863,0.7943695605381894,0.01312613156306578,-0.02
XEC,8.3184,8.917580303904597,0.09361112095492023,0.8205626427644299,4.105070231319513,0.009166891345376111,1.72
CTAS,8.6806,23.546759440591664,0.0791601205585014,1.4461467261971614,1.7368954698500152,0.007925636007827789,1.26
CSCO,2.78,18.02517985611511,0.06918531957145309,1.5120007845252397,0.8625565932081335,0.02634204749550988,1.0
CTXS,4.25,24.750588235294117,0.30047559558238246,8.312551335493428,1.5669571686682964,0.0033273124821751117,0.88
CMS,2.33,23.261802575107296,0.022712933753943218,4.150788643533123,0.48694424841213835,0.026383763837638373,0.31
KO,1.5,30.186666666666667,0.05123373181791414,3.778222719510041,0.43227902671437396,0.03445229681978799,0.41
CTSH,3.61,20.049861495844876,0.05672268907563025,0.39294467787114845,1.220659399512084,0.01105277701022382,1.14
CL,2.75,24.327272727272728,-5.9411764705882355,-117.29411764705883,0.9938661624313979,0.02481315396113602,0.87
CMCSA,2.5548,15.112728980742132,0.03506346613045117,2.4837110580481196,1.281960447424123,0.019684019684019685,1.01
CMA,7.3147,12.044239681736775,0.04102837351804982,8.451312108698549,4.0817353349978935,0.020885357548240637,1.47
CAG,1.8534,12.614654149131326,0.018216802092994283,2.173765590177323,0.34428653205447635,0.03635585970915312,1.17
CXO,13.03,8.138142747505757,0.08008312020460358,0.43654092071611256,3.480649188514357,,1.58
COP,5.3729,13.022762381581643,0.0584864898713172,1.1871379817777639,3.334802538787024,0.01657853365728169,0.98
ED,5.01,16.387225548902194,0.02738087744696922,2.11783218984075,1.7978913303111637,0.034531059683313034,0.32
STZ,16.5007,10.245625943141807,0.02692618618245134,1.4542805617987509,3.8151163628503495,0.016207263693363304,0.76
GLW,1.24,28.10483870967742,0.02117169373549884,0.9874564965197216,1.1960430168755187,0.020659971305595406,1.31
COST,7.44,29.071236559139784,0.0582516898306372,2.3038657249183565,4.942223432995074,0.010217763188311989,1.03
COTY,-1.64,,-0.12630997620018145,1.7319693363663857,0.42542032886216036,0.044365572315882874,1.09
CCI,1.3535,88.56298485408202,0.017699850423799235,1.7243643011467509,1.7518072289156625,0.03566363560523901,0.46
CSX,3.8844,18.872927607867368,0.06710180689325798,1.9822494627079519,1.5141669629611465,0.01200381939708089,1.24
CMI,13.24,11.740181268882175,0.07879695155144258,1.4701959716929778,6.292146257444117,0.02856407617086979,1.28
CVS,-0.55,,-0.007196221554315156,2.368621726062688,1.9169502010516548,0.03228410008071025,1.26
DHI,4.133,9.88144205177837,0.03147500739750348,0.5740024329567,-0.9991350291760283,0.012855044074436826,1.36
DHR,3.78,30.021164021164022,0.02646875354428944,0.6948862991947374,1.7642195295794725,0.005639760310186817,0.86
DRI,5.4495,20.508303514083863,0.051370928320668356,1.4659823134693153,1.8419710304512222,0.0246957766642806,0.7
DVA,0.84,69.8809523809524,-0.04044129758208715,3.8011160968634043,2.3406756537469873,,1.72
DE,10.55,15.731753554502369,0.044006779780716467,5.1705979978460075,-5.160356507576255,0.016509007651985298,0.86
DAL,5.66,9.102473498233216,0.07445020822678454,3.4031562796814496,2.0089844613005376,0.025427018633540372,1.08
XRAY,-7.44,,0.0054453520031116295,0.7030143912874368,0.5643726297248234,0.008407398510689406,0.79
DVN,6.5073,4.556421249980791,0.12421075549749619,1.1299804049640758,1.2365959388546657,0.010792580101180439,2.54
DFS,7.8128,9.146528773295104,0.06118598382749326,8.879335130278527,2.299093655589124,0.020990764063811923,1.62
DISCA,-1.5665,,0.012074913750616067,2.794356826022671,5.946039057565569,,1.29
DISCK,-1.5665,,0.012074913750616067,2.794356826022671,2.5871282044164388,,1.29
DISH,3.37,9.73887240356083,0.03921501106136007,2.5204893430287374,1.5018021433957,,1.56
DG,6.78,17.46017699115044,0.05257204028768286,1.064388327799357,1.5855966890339466,0.009545531339753336,0.95
DLTR,7.39,13.140730717185386,0.03547733252760257,1.0960708035905378,1.1854435433037778,,0.54
DOV,3.81,24.233595800524935,0.05113256709187746,2.021589097420924,2.5562746220876083,0.020578360229611178,1.67
DWDP,1.66,33.1144578313253,0.0050015332395766145,0.971238540355923,2.262325036811013,0.027651446243405493,1.05
DTE,6.1696,20.053163900414937,0.018657809905245678,2.497899775324802,3.5289461533387567,0.029037342386032977,0.41
DUK,3.7575,23.92814371257485,0.010589497227103636,2.3177762055823083,2.0894085281980743,0.040429318207095985,0.16
DXC,5.48,12.166058394160583,0.041916167664670656,1.5890945381963346,0.5591360974536942,0.011249437528123593,1.87
ETFC,3.91,12.50383631713555,0.04114599207558671,8.905973788479121,1.878334246130753,0.002863571282470853,1.06
EMN,7.63,11.068152031454785,0.005859038428399104,1.062898500775461,5.293276108726753,0.02723505032563647,0.96
EBAY,2.5914,14.467083429806282,0.12099984078968318,2.6330202197102373,1.3477177334732424,,1.25
EIX,1.42,43.24647887323944,0.04241071428571429,3.2468584656084656,3.235004343008677,0.03940726266080443,-0.14
EW,3.44,50.14825581395348,0.0022290154120494206,0.6952299070182142,1.410240366566233,,0.9
EA,4.65,20.62795698924731,0.04902694610778443,0.657372754491018,3.1842881747419858,,1.37
EMR,3.6159,18.957935783622336,0.056459446333171445,1.4755949490043712,0.5255279685008624,0.02837345003646973,1.36
ETR,4.6934,19.766054459453702,-0.0068759945571938725,4.326194458845592,2.9023804529043518,0.0385900614422766,0.27
EOG,8.6,11.10813953488372,0.06424219474422646,0.814482856460107,3.7757987111637634,0.007929446247252172,1.54
EQT,-8.57,,-0.05810126800598892,0.8909391289413645,2.0837723051318484,0.006214396685655101,0.95
EFX,2.4923,44.44087790394415,0.008237338310058562,1.2862796833773087,1.3667841592369894,0.014084507042253521,1.48
