,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta,cluster
AMGN,12.6884,14.777276882822106,0.15424000000000002,4.313280000000001,5.132754170965389,0.02816,0.97,19
APH,4.0,23.585,0.08416728902165796,1.4888473985561363,1.268757107824226,0.009327962688149245,0.9,1
APC,1.2049,36.26027056187235,0.012005649717514123,3.4643361581920904,3.2567617339503903,0.024032959487296862,1.63,16
ADI,4.25,24.92,0.03055292605708356,0.8841134779810205,1.0093751527229484,0.018128599754508545,1.33,1
ANSS,3.78,46.42328042328042,0.035053712979871664,0.19915865752472195,1.3159526089037816,0.0,1.59,11
ANTM,14.54,21.78748280605227,0.014855821449844084,1.5076556532707333,1.7901191608478129,0.009469995896335109,1.21,1
AON,4.2738,40.25925405961908,0.06552637918573838,5.348831606841724,2.9625123438014325,0.009066604672788562,0.72,11
APA,2.3,14.55217391304348,0.010641093011035208,1.6978455070940617,2.65054907994857,0.02987750224081267,2.26,10
AAPL,12.27,14.096984515077427,0.16934991348013434,2.170011535982085,5.66032133828744,0.016303405214777127,0.99,19
AMAT,3.99,9.882205513784461,0.09392130588378607,1.3050310634669264,0.8743458132045089,0.02028911995942176,1.53,10
APTV,4.0341,20.41595399221636,0.07140792136455623,2.5469788956345765,2.9111465764224045,0.010684798445847498,1.85,1
ADM,3.2122,13.22769441504265,0.016595542911332386,1.1478847268320953,-1.9711153048890444,0.03153683219581078,0.87,10
ARNC,1.3246,13.800392571342291,0.03911717207966984,2.352054548717029,0.8814929925445557,0.01312910284463895,2.4,10
AJG,3.48,23.160919540229887,0.026073040076463137,2.614928093533975,1.4152993589047052,0.020347394540942927,0.67,1
T,2.8825,10.806591500433653,0.0263894094704192,1.835959780323648,1.658884921724801,0.06452648475120384,0.81,10
ADSK,-1.46,0.0,0.0700561631687851,-12.1569612769731,0.17898807811551126,0.0,1.39,9
ADP,4.15,36.910843373493975,0.1171729045529923,7.1459098637670815,1.7957900052797098,0.01827914871393132,1.02,16
AZO,53.18,17.142910868747652,-0.21186700236823955,-6.741884197427252,17.821146597897247,0.0,0.7,8
AVY,0.0,0.0,0.1016647471468956,4.4208983352528515,3.1161342405720216,0.018795586310080416,1.57,18
BHGE,0.43,61.27906976744186,0.007500715717148582,0.9977669624964214,2.121198545352549,0.027324478178368118,0.83,5
BLL,1.32,41.86363636363636,0.042391914654688376,3.647389107243122,1.5890751818297066,0.007238508867173363,0.53,11
BDX,3.34,74.74850299401197,0.027985423285367225,1.4730424219772005,0.9142840152677998,0.012096451173596092,1.32,5
BRK.B,25.1233,8.036762686430523,0.049360233862078884,0.9505705446664856,7.678365705647972,0.0,0.0,0
BBY,3.8846,15.558873500489113,0.09196547144754316,3.980079681274901,-0.0037160630541579033,0.02796161482461946,1.19,10
BIIB,21.64,15.033733826247687,0.07260958925120402,0.9400058283996442,9.635553025026816,0.0,1.74,0
HRB,2.6794,9.360304545793834,5.631923383878691,-72.29436552274541,-1.2267330971935697,0.039074960127591714,-0.14,7
BA,18.07,23.467072495849475,10.094395280235988,344.98230088495575,5.216067683212828,0.01613017332861691,1.33,3
BKNG,58.88,32.447690217391305,0.17761372051918195,1.4488486014101958,42.39086984675156,0.0,0.55,8
BWA,4.4696,9.325219258994094,0.05443142823334517,1.3609040350254409,2.7452925118319125,0.0163147792706334,1.65,10
BSX,1.21,33.48760330578513,0.044235617694247074,1.406486362594545,0.013708909348033132,0.0,0.89,16
AVGO,29.5163,9.367705301816283,0.04182766252770005,0.8803316202123269,6.384955585561746,0.02531645569620253,0.46,0
BF.B,1.56,31.30769230769231,0.16633266533066132,2.4395457581830327,0.4741044783389458,0.01294021294021294,0.0,16
